weight_iv_premium,consensus_threshold,regime_extreme_low_scalar,regime_crisis_scalar,use_asymmetric_targets,sharpe,nw_sharpe,total_return,max_drawdown,trades
0.29,0.15,1.5,0.5,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.18,1.5,0.3,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.18,1.5,0.3,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.18,1.5,0.5,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.15,1.5,0.5,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.12,1.5,0.3,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.12,1.5,0.3,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.18,1.5,0.5,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.12,1.5,0.5,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.12,1.5,0.5,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.15,1.5,0.3,True,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.29,0.15,1.5,0.3,False,0.9689034402884124,-0.996285062964832,9.329816465218348,-2.7209727156336343,47
0.19,0.12,1.5,0.3,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.18,1.5,0.3,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.18,1.5,0.5,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.15,1.5,0.3,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.15,1.5,0.5,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.15,1.5,0.5,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.18,1.5,0.5,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.15,1.5,0.3,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.12,1.5,0.3,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.12,1.5,0.5,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.12,1.5,0.5,True,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.19,0.18,1.5,0.3,False,0.9572449861251857,-1.6086245813181346,7.004167900689979,-2.1170816545024325,47
0.24,0.12,1.5,0.5,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.12,1.5,0.5,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.15,1.5,0.5,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.15,1.5,0.3,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.15,1.5,0.3,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.12,1.5,0.3,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.15,1.5,0.5,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.18,1.5,0.3,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.18,1.5,0.3,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.18,1.5,0.5,True,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.24,0.12,1.5,0.3,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
