date,open,high,low,close,volume
2019-01-02,221.87181089074002,226.58923518812233,221.8447522534414,225.66017150878906,126925200
2019-01-03,223.90129414990102,224.20798164872417,219.7882160680314,220.27529907226562,144140700
2019-01-04,223.32401879427337,228.30301453772492,222.94518410643286,227.65357971191406,142628800
2019-01-07,227.92419504771206,230.86468187604567,227.0222037031967,229.4485626220703,103139100
2019-01-08,231.64940990373486,232.0913768277069,229.10578785736215,231.6042938232422,102512600
2019-01-09,232.31685632215758,233.53454997395662,231.08113275553774,232.68667602539062,95006600
2019-01-10,231.14430967565727,233.7600790572302,230.45878744851456,233.5075225830078,96823900
2019-01-11,232.42508171229733,233.62474540203766,231.83879294795014,233.59768676757812,73858100
2019-01-14,231.68541771525295,232.98428708446028,231.27953824149034,232.17250061035156,70908200
2019-01-15,232.5514133336586,235.14915279095234,232.5423846117708,234.8334503173828,85208300
2019-01-16,235.26639741259456,236.29468078928815,235.05895701408392,235.40171813964844,77636700
2019-01-17,234.52670392853707,238.05349227045366,234.48158785966262,237.18756103515625,96118400
2019-01-18,239.00961423127913,240.81359645123314,237.22366192395435,240.34454345703125,127900300
2019-01-22,238.86528870068994,239.0817577552699,235.47379337049065,237.0973663330078,115531200
2019-01-23,238.13472137952365,238.83827346131451,235.11304515297226,237.59352111816406,86030300
2019-01-24,237.41311386982125,238.30610394294712,236.39385933304047,237.71978759765625,59204100
2019-01-25,239.57785056824304,240.56104512227762,237.8189843825902,239.731201171875,96883400
2019-01-28,237.57543214969337,237.97228288101937,236.13224098699024,237.90916442871094,85613700
2019-01-29,238.05354546930803,238.62177684081743,236.7546758526805,237.59352111816406,66136300
2019-01-30,239.11787676556534,242.20267130808887,238.35117872697282,241.35479736328125,92473700
2019-01-31,241.2916536882626,243.961539700097,241.0751571010545,243.47445678710938,104012100
2019-02-01,243.67285068734785,244.61995770487718,242.79791836101396,243.5916748046875,85782500
2019-02-04,243.63683745577777,245.36867272575856,242.96034403457378,245.30552673339844,60744800
2019-02-05,245.7384837766507,246.64047497315093,245.2333709087375,246.33380126953125,79552800
